collectdate,WQI
1994-01-06,94.891147105532
1994-01-06,98.6994498696533
1994-01-06,101.553997291303
1994-01-06,98.7223253314232
1994-01-06,98.7212988171115
1994-01-06,99.6989281319895
1994-02-14,111.025362841929
1994-02-14,108.874964163355
1994-02-14,101.827577360458
1994-02-14,108.86904875394
1994-02-14,108.866069352014
1994-02-14,113.772988816092
1994-03-08,97.103900919096
1994-03-08,111.292302371691
1994-03-08,127.102509203271
1994-03-08,111.250104014192
1994-03-08,111.168156931442
1994-03-08,109.552837143248
1994-03-22,101.11511774148
1994-03-22,103.770373478664
1994-03-22,106.46440519062
1994-03-22,103.708285799579
1994-03-22,103.703323467736
1994-03-22,103.702337009828
1994-04-05,79.1991131157103
1994-04-05,98.6711926258836
1994-04-05,94.8017700074185
1994-04-05,98.1377243837203
1994-04-05,98.0476399848141
1994-04-05,120.917571253826
1994-04-19,85.0686349444333
1994-04-19,97.1781918162236
1994-04-19,90.449267429246
1994-04-19,96.8876274823205
1994-04-19,96.6994231926933
1994-04-19,115.181482578512
1994-05-03,87.0021221059251
1994-05-03,97.4532781801134
1994-05-03,94.5017367638451
1994-05-03,97.1724537277803
1994-05-03,96.8365903282392
1994-05-03,110.229509572981
1994-05-24,93.195723863566
1994-05-24,97.8672300380131
1994-05-24,97.8456278849108
1994-05-24,97.8338452953109
1994-05-24,97.8043047464729
1994-05-24,97.7763925567658
1994-05-24,97.7475411212985
1994-05-24,97.7304250010921
1994-05-24,97.6977666941899
1994-05-24,107.751942072192
1994-05-24,97.5572054026698
1994-05-24,97.2777311492342
1994-05-24,96.7950694274331
1994-05-24,91.3398448836779
1994-06-07,86.5315721295137
1994-06-07,87.3266035246568
1994-06-07,87.3232662761019
1994-06-07,87.1640838259157
1994-06-07,87.0649111918278
1994-06-07,87.0514603110757
1994-06-07,98.6445340109762
1994-06-07,86.9405106841819
1994-06-07,86.8701100103731
1994-06-07,86.7473605663063
1994-06-07,86.727150054271
1994-06-07,86.7164277146139
1994-06-07,86.6079001230007
1994-06-07,86.3978053770916
1994-06-07,86.109421925246
1994-06-07,75.2684892290705
1994-07-06,54.6656125661433
1994-07-06,72.8430863140864
1994-07-06,72.8082927649351
1994-07-06,72.7734725115146
1994-07-06,82.2493571324962
1994-07-06,72.660361062485
1994-07-06,72.6217273237535
1994-07-06,72.5172873201357
1994-07-06,72.4043987618215
1994-07-06,72.3568268173117
1994-07-06,72.15653906894
1994-07-06,72.0271183414148
1994-07-06,71.950692842767
1994-07-06,71.7554966210998
1994-07-06,71.6114149402204
1994-07-06,71.4324817599623
1994-07-06,79.9393740816747
1994-08-02,29.2327344574155
1994-08-02,51.1331678957318
1994-08-02,50.1035816362017
1994-08-02,50.241826836653
1994-08-02,50.0335872160287
1994-08-02,49.8130035104926
1994-08-02,49.8588202062545
1994-08-02,49.6205258780106
1994-08-02,49.5403693564421
1994-08-02,49.4504705258219
1994-08-02,49.4451502851588
1994-08-02,49.3540041838896
1994-08-02,71.4833082291672
1994-09-07,56.373481436724
1994-09-07,74.8022167570078
1994-09-07,65.8208528373524
1994-09-07,73.3015810259423
1994-09-07,73.0486718284171
1994-09-07,101.395442578157
1994-10-04,28.5133846209627
1994-10-04,28.2477938697224
1994-10-04,28.8052352831136
1994-10-04,49.5632563673605
1994-10-04,49.2027907183386
1994-10-04,48.9247139292134
1994-10-04,48.7926916745926
1994-10-04,72.491745511576
1994-10-04,48.4538848008626
1994-10-04,59.7882194422594
1994-10-04,77.3566877458517
1994-11-01,29.9094607387602
1994-11-01,31.7508793917622
1994-11-01,30.1510262152456
1994-11-01,80.5952314402037
1994-11-01,69.7062706710653
1994-11-01,69.1162577103296
1994-11-01,68.7586375579624
1994-11-01,68.7091593961181
1994-11-01,113.074806880308
1994-11-01,131.258805077827
1994-12-07,60.485836077181
1994-12-07,62.3091616658132
1994-12-07,64.4785198972832
1994-12-07,62.3101447856877
1994-12-07,62.3091549897459
1994-12-07,61.9585652799358
1995-01-17,109.641263705219
1995-01-17,110.249226172167
1995-01-17,113.518465348204
1995-02-08,124.002507412026
1995-02-08,129.895060617251
1995-02-08,128.987513358753
1995-03-07,152.594320300395
1995-03-07,148.998597075574
1995-03-07,141.144775917597
1995-04-04,160.615406349856
1995-04-04,166.961850738119
1995-04-04,155.85978284668
1995-04-04,166.951571565838
1995-04-04,166.919919682854
1995-04-04,166.89338578208
1995-04-04,166.878309818039
1995-04-04,163.873048766554
1995-04-04,175.246095994711
1995-04-04,167.543497990291
1995-04-04,177.053060678839
1995-04-18,135.683968393943
1995-04-18,108.539004761709
1995-04-18,113.725938041576
1995-04-18,122.854699918931
1995-04-18,158.81285140577
1995-04-18,143.073742775602
1995-05-02,99.2502328297011
1995-05-02,117.981201649157
1995-05-02,101.861192033262
1995-05-02,117.990957372534
1995-05-02,117.982840022388
1995-05-02,117.998726827961
1995-05-02,117.989112860946
1995-05-02,117.493708517959
1995-05-02,118.034229576413
1995-05-02,118.035993015839
1995-05-02,117.965055416609
1995-05-02,117.930140139297
1995-05-02,114.43703826542
1995-05-02,117.797611667808
1995-05-02,117.653449705401
1995-05-02,140.222530141017
1995-05-02,144.211304225433
1995-05-16,99.934579298557
1995-05-16,113.669179541853
1995-05-16,113.668010791502
1995-05-16,99.3479380223805
1995-05-16,113.645817287358
1995-05-16,113.587945476115
1995-05-16,113.599342910757
1995-05-16,113.598353114816
1995-05-16,102.274921908265
1995-05-16,113.560688539765
1995-05-16,113.503806586654
1995-05-16,113.329117555309
1995-05-16,113.224045664569
1995-05-16,123.554043011359
