Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Washington-0890
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
01/23/1995,L5229-30,1.0,0.036,<RDL      ,0.020,90.0,,,10.56,,,,,6,,0.223,,0.050,0.0176,,0.0020,7.5,,7.3,,0.410,,0.050,0.0200,,0.005,38.0,,0.2,
01/23/1995,L5229-31,10.0,0.048,,0.020,91.2,,,10.42,,,,,,,0.215,,0.050,0.0173,,0.0020,7.4,,7.1,,0.401,,0.050,0.0280,,0.005,38.0,,0.2,
01/23/1995,L5229-32,25.0,0.027,<RDL      ,0.020,91.4,,,10.41,,,,,,,0.226,,0.050,0.0176,,0.0020,7.4,,7.1,,0.453,,0.050,0.0260,,0.005,38.0,,0.2,
01/23/1995,L5229-33,47.0,0.025,<RDL      ,0.020,,,,,,,,,,,0.253,,0.050,0.0185,,0.0020,,,,,0.446,,0.050,0.0290,,0.005,38.0,,0.2,
02/06/1995,L5377-31,1.0,0.020,<MDL      ,0.020,103.0,,,11.30,,,,,7,,0.201,,0.050,0.0158,,0.0020,7.5,,7.7,,0.376,,0.050,0.0320,,0.005,,,,
02/06/1995,L5377-32,10.0,0.020,<MDL      ,0.020,103.7,,,10.94,,,,,,,0.196,,0.050,0.0157,,0.0020,7.4,,7.3,,0.369,,0.050,0.0310,,0.005,,,,
02/06/1995,L5377-33,25.0,0.020,<MDL      ,0.020,104.8,,,10.71,,,,,,,0.231,,0.050,0.0178,,0.0020,7.4,,7.2,,0.324,,0.050,0.0290,,0.005,,,,
02/06/1995,L5377-34,47.0,0.020,<MDL      ,0.020,104.7,,,10.49,,,,,,,0.242,,0.050,0.0190,,0.0020,7.3,,7.0,,0.365,,0.050,0.0290,,0.005,,,,
03/06/1995,L5573-31,Composite,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
03/06/1995,L5573-31,1.0,0.020,<MDL      ,0.020,93.9,,,11.50,,,,,,,0.212,,0.050,0.0123,,0.0020,7.5,,7.1,,0.353,,0.050,0.0310,,0.005,,,,
03/06/1995,L5573-32,10.0,0.020,<MDL      ,0.020,95.1,,,11.26,,,,,,,0.210,,0.050,0.0114,,0.0020,7.5,,7.1,,0.370,,0.050,0.0280,,0.005,,,,
03/06/1995,L5573-33,25.0,0.020,<MDL      ,0.020,95.6,,,11.11,,,,,,,0.211,,0.050,0.0115,,0.0020,7.4,,7.0,,0.329,,0.050,0.0290,,0.005,,,,
03/06/1995,L5573-34,47.0,0.020,<MDL      ,0.020,95.8,,,11.08,,,,,,,0.220,,0.050,0.0133,,0.0020,7.4,,7.0,,0.416,,0.050,0.0350,,0.005,,,,
03/20/1995,L5710-35,1.0,0.020,<MDL      ,0.020,95.6,,,11.26,,,,,6,,0.203,,0.050,0.0129,,0.0020,7.5,,7.4,,0.404,,0.050,0.0220,,0.005,,,,
03/20/1995,L5710-36,5.0,0.020,<MDL      ,0.020,96.6,,,11.23,,,,,,,0.203,,0.050,0.0020,<MDL      ,0.0020,7.4,,7.4,,0.377,,0.050,0.0150,,0.005,,,,
03/20/1995,L5710-37,10.0,0.020,<MDL      ,0.020,96.8,,,11.24,,,,,,,0.206,,0.050,0.0121,,0.0020,7.4,,7.4,,0.437,,0.050,0.0230,,0.005,,,,
03/20/1995,L5710-38,25.0,0.020,<MDL      ,0.020,97.2,,,11.29,,,,,,,0.227,,0.050,0.0146,,0.0020,7.4,,7.3,,0.447,,0.050,0.0200,,0.005,,,,
03/20/1995,L5710-39,40.0,0.020,<MDL      ,0.020,98.0,,,11.21,,,,,,,0.204,,0.050,0.0158,,0.0020,7.4,,7.2,,0.423,,0.050,0.0240,,0.005,,,,
03/20/1995,L5710-40,47.0,0.020,<MDL      ,0.020,98.6,,,10.97,,,,,,,0.234,,0.050,0.0161,,0.0020,7.3,,7.2,,0.465,,0.050,0.0270,,0.005,,,,
04/03/1995,L5779-42,1.0,0.020,<MDL      ,0.020,94.1,,,12.81,,,,,0,,0.082,<RDL      ,0.050,0.0020,<MDL      ,0.0020,8.4,,10.1,,0.374,,0.050,0.0260,,0.005,36.0,,0.2,
