Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Washington-4903
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
01/23/1995,L5229-45,1.0,0.040,,0.020,91.3,,,10.43,,,,,94,,0.239,,0.050,0.0156,,0.0020,7.5,,6.7,,0.479,,0.050,0.0310,,0.005,39.0,,0.2,
02/06/1995,L5377-30,1.0,0.020,<MDL      ,0.020,103.4,,,11.46,,,,,,">MR,6E1   ",0.259,,0.050,0.0149,,0.0020,7.5,,7.5,,0.502,,0.050,0.0320,,0.005,,,,
03/06/1995,L5573-30,Composite,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
03/06/1995,L5573-30,1.0,0.020,<MDL      ,0.020,90.3,,,12.28,,,,,,,0.211,,0.050,0.0087,,0.0020,7.8,,7.3,,0.357,,0.050,0.0360,,0.005,,,,
03/20/1995,L5710-34,1.0,0.020,<MDL      ,0.020,95.9,,,11.50,,,,,,">MR,6E1   ",0.169,,0.050,0.0103,,0.0020,7.4,,8.1,,0.409,,0.050,0.0260,,0.005,,,,
04/03/1995,L5779-41,1.0,0.020,<MDL      ,0.020,100.4,,,13.42,,,,,28,,0.117,,0.050,0.0020,<MDL      ,0.0020,8.1,,10.6,,0.376,,0.050,0.0270,,0.005,37.0,,0.2,
04/17/1995,L5914-34,1.0,0.020,<MDL      ,0.020,95.5,,,13.00,,,,,,">MR,6E1   ",0.071,<RDL      ,0.050,0.0020,<MDL      ,0.0020,8.8,,10.1,,0.279,,0.050,0.0250,,0.005,,,,
05/01/1995,L5986-41,1.0,0.020,<MDL      ,0.020,97.3,,,13.40,,,,,19,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,9.2,,14.0,,0.230,,0.050,0.0158,,0.005,,,,
05/15/1995,L6093-37,1.0,0.020,<MDL      ,0.020,101.2,,,11.35,,,,,39,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.9,,16.0,,0.218,,0.050,0.0228,,0.005,,,,
06/06/1995,L6253-41,1.0,0.020,<MDL      ,0.020,97.7,,,10.19,,,,,160,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.7,,18.2,,0.214,,0.050,0.0127,,0.005,,,,
07/11/1995,L6450-41,1.0,,"<MDL,E,IP ",0.020,105.5,,,9.97,,,,,79,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.4,,21.8,,0.178,,0.050,0.0050,<MDL      ,0.005,38.0,,0.2,
07/19/1995,L6536-9,Composite,,,,,,,,,,,,160,,,,,,,,,,23.8,,,,,,,,,,,
07/26/1995,L6585-9,Composite,,,,,,,,,,,,1100,,,,,,,,,,21.7,,,,,,,,,,,
08/02/1995,L6641-9,Composite,,,,,,,,,,,,1000,,,,,,,,,,22.5,,,,,,,,,,,
08/02/1995,L6636-41,1.0,0.020,<MDL      ,0.020,100.5,,,10.29,,,,,180,,0.050,<MDL      ,0.050,0.0032,<RDL      ,0.0020,8.5,,22.9,,0.254,,0.050,0.0160,,0.005,,,,
08/09/1995,L6670-9,Composite,,,,,,,,,,,,5,,,,,,,,,,18.7,,,,,,,,,,,
08/16/1995,L6698-9,Composite,,,,,,,,,,,,140,,,,,,,,,,18.3,,,,,,,,,,,
08/17/1995,L6743-9,Composite,,,,,,,,,,,,4900,,,,,,,,,,18.0,,,,,,,,,,,
08/23/1995,L6761-9,Composite,,,,,,,,,,,,38,,,,,,,,,,20.0,,,,,,,,,,,
08/30/1995,L6808-9,Composite,,,,,,,,,,,,450,,,,,,,,,,19.9,,,,,,,,,,,
09/05/1995,L6858-9,Composite,,,,,,,,,,,,8800,,,,,,,,,,19.8,,,,,,,,,,,
09/06/1995,L6865-9,Composite,,,,,,,,,,,,2100,,,,,,,,,,19.8,,,,,,,,,,,
09/11/1995,L6882-41,1.0,0.020,<MDL      ,0.020,106.9,,,9.43,,,,,45,,0.050,<MDL      ,0.050,0.0038,"<RDL,E,XHT",0.0020,8.0,,20.6,,0.185,,0.050,,,,,,,
09/13/1995,L6919-9,Composite,,,,,,,,,,,,30,,,,,,,,,,20.3,,,,,,,,,,,
09/20/1995,L6961-9,Composite,,,,,,,,,,,,160,,,,,,,,,,20.3,,,,,,,,,,,
10/04/1995,L6996-41,1.0,0.020,<MDL      ,0.020,132.9,,,9.66,,,,,240,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,7.9,,17.9,,0.190,,0.050,0.0220,,0.005,39.6,,0.2,
11/06/1995,L7240-41,1.0,0.020,<MDL      ,0.020,99.1,,,9.12,,,,,230,,0.077,<RDL      ,0.050,0.0051,,0.0020,7.7,,11.4,,0.255,,0.050,0.0146,,0.005,,,,
12/04/1995,L7446-41,1.0,0.020,<MDL      ,0.020,94.5,,,9.43,,,,,170,,0.204,,0.050,0.0140,,0.0020,7.0,,9.1,,0.379,,0.050,0.0290,,0.005,,,,
01/02/1996,L7623-30,1.0,0.020,<MDL      ,0.020,97.0,,,10.22,,,,,120,,0.205,,0.050,0.0160,,0.0020,7.0,,8.6,,0.383,,0.050,0.0270,,0.005,35.8,,0.2,
02/06/1996,L7777-30,1.0,0.020,<MDL      ,0.020,87.7,,,11.04,,,,,170,,0.269,,0.050,0.0120,,0.0020,7.0,,6.3,,0.413,,0.050,0.0500,,0.005,,,,
03/05/1996,L7906-30,1.0,0.020,<MDL      ,0.020,97.4,,,12.22,,,,,260,,0.286,,0.050,0.0080,,0.0020,7.7,,6.9,,0.452,,0.050,0.0280,,0.005,,,,
03/20/1996,L8056-30,1.0,0.020,<MDL      ,0.020,91.7,,,12.49,,,,,130,,0.269,,0.050,0.0090,,0.0020,7.8,,7.8,,0.447,,0.050,0.0250,,0.005,,,,
04/08/1996,L8218-40,1.0,0.021,<RDL      ,0.020,100.9,,,13.22,,,,,16,,0.147,,0.050,0.0020,<RDL      ,0.0020,8.8,,13.2,,0.322,,0.050,0.0190,,0.005,33.5,,0.2,
05/07/1996,L8461-40,1.0,0.036,<RDL      ,0.020,95.3,,,10.76,,,,,1,,0.160,,0.050,0.0020,<RDL      ,0.0020,7.9,,10.8,,0.344,,0.050,0.0200,,0.005,,,,
05/22/1996,L8632-40,1.0,0.036,<RDL      ,0.020,96.4,,,10.38,,,,,,">MR,6E2   ",0.195,,0.050,0.0030,<RDL      ,0.0020,7.4,,11.2,,0.415,,0.050,0.0330,,0.005,,,,
06/03/1996,L8712-40,1.0,0.025,<RDL      ,0.020,96.8,,,11.30,,,,,80,,0.130,,0.050,0.0020,<MDL      ,0.0020,8.5,,16.6,,0.282,,0.050,0.0200,,0.005,,,,
06/04/1996,L8765-9,Composite,,,,,,,,,,,,16,,,,,,,,,,12.8,,,,,,,,,,,
06/12/1996,L8774-9,Composite,,,,,,,,,,,,51,,,,,,,,,,16.7,,,,,,,,,,,
06/17/1996,L8846-1,Composite,,,,,,,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,
