Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Washington-0817
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
01/05/1994,L2702-1,1.0,0.020,<MDL      ,0.020,105.0,,,9.59,,,,,30,,0.200,,0.050,0.0140,,0.0020,7.4,,7.9,,0.310,,0.050,0.0820,,0.005,38.0,,0.2,
01/05/1994,L2702-2,3.0,0.020,<MDL      ,0.020,103.0,,,9.57,,,,,,,0.220,,0.050,0.0140,,0.0020,7.4,,7.9,,0.330,,0.050,0.0870,,0.005,38.0,,0.2,
02/15/1994,L2932-1,1.0,0.020,<RDL      ,0.020,104.0,,,11.31,,,,,320,,0.370,,0.050,0.0210,,0.0020,7.5,,7.2,,0.690,,0.050,0.0400,,0.005,,,,
02/15/1994,L2932-2,3.0,0.020,<MDL      ,0.020,103.9,,,11.21,,,,,,,0.240,,0.050,0.0160,,0.0020,7.5,,7.1,,0.440,,0.050,0.0220,,0.005,,,,
03/07/1994,L3132-1,1.0,0.020,<MDL      ,0.020,102.4,,,10.88,,,,,5,,0.260,,0.050,0.0120,,0.0020,7.5,,7.7,,0.390,,0.050,0.0240,,0.005,,,,
03/07/1994,L3132-2,3.0,0.020,<MDL      ,0.020,102.7,,,10.69,,,,,,,0.190,,0.050,0.0090,,0.0020,7.4,,7.6,,0.400,,0.050,0.0230,,0.005,,,,
03/21/1994,L3277-1,1.0,0.020,<MDL      ,0.020,101.0,,,11.54,,,,,5,,0.200,,0.050,0.0088,,0.0020,7.5,,7.7,,0.360,,0.050,0.0280,,0.005,,,,
03/21/1994,L3277-2,3.0,0.020,<MDL      ,0.020,101.5,,,11.40,,,,,,,0.210,,0.050,0.0080,,0.0020,7.5,,7.7,,0.370,,0.050,0.0190,,0.005,,,,
04/04/1994,L3375-1,1.0,0.020,<MDL      ,0.020,103.0,,,12.31,,,,,12,,0.188,,0.050,0.0020,<MDL      ,0.0020,8.1,,8.8,,0.390,,0.050,0.0200,,0.005,,,,
04/04/1994,L3375-2,3.0,0.020,<MDL      ,0.020,104.4,,,12.22,,,,,,,0.185,,0.050,0.0020,<MDL      ,0.0020,8.1,,8.8,,0.390,,0.050,0.0230,,0.005,,,,
04/18/1994,L3497-1,1.0,0.020,<MDL      ,0.020,110.1,,,12.62,,,,,8,,0.158,,0.050,0.0043,<RDL      ,0.0020,8.8,,12.6,,0.422,,0.050,0.0160,,0.005,,,,
04/18/1994,L3497-2,3.0,0.020,<MDL      ,0.020,107.8,,,12.67,,,,,,,0.170,,0.050,0.0034,<RDL      ,0.0020,8.9,,12.7,,0.412,,0.050,0.0190,,0.005,,,,
05/02/1994,L3607-1,1.0,0.020,<MDL      ,0.020,110.7,,,11.92,,,,,7,,0.059,<RDL      ,0.050,0.0020,<MDL      ,0.0020,9.0,,12.6,,0.278,,0.050,0.0190,,0.005,41.0,,0.2,
05/02/1994,L3607-2,3.0,0.020,<MDL      ,0.020,118.2,,,11.52,,,,,,,0.086,<RDL      ,0.050,0.0020,<MDL      ,0.0020,8.8,,12.5,,0.310,,0.050,0.0190,,0.005,42.0,,0.2,
05/23/1994,L3766-1,1.0,0.020,<MDL      ,0.020,112.2,,,10.56,,,,,7,,0.050,<MDL      ,0.050,0.0035,<RDL      ,0.0020,8.9,,16.8,,0.534,,0.050,0.0200,,0.005,,,,
05/23/1994,L3766-2,3.0,0.020,<MDL      ,0.020,112.4,,,10.54,,,,,,,0.050,<MDL      ,0.050,0.0021,<RDL      ,0.0020,8.9,,16.7,,0.514,,0.050,0.0160,,0.005,,,,
06/06/1994,L3852-1,1.0,0.023,<RDL      ,0.020,107.0,,,10.10,,,,,22,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.4,,16.4,,0.215,,0.050,0.0150,,0.005,,,,
06/06/1994,L3852-2,3.0,0.020,<MDL      ,0.020,108.7,,,9.79,,,,,,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.2,,16.3,,0.209,,0.050,0.0220,,0.005,,,,
07/05/1994,L4013-1,1.0,0.020,<MDL      ,0.020,109.4,,,9.55,,,,,87,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.3,,18.4,,0.260,,0.050,0.0150,,0.005,40.0,,0.2,
07/05/1994,L4013-2,3.0,0.020,<MDL      ,0.020,109.3,,,9.38,,,,,,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.2,,18.3,,0.245,,0.050,0.0160,,0.005,40.0,,0.2,
08/03/1994,L4191-1,1.0,0.020,<MDL      ,0.020,108.7,,,8.98,,,,,2,,0.050,<MDL      ,0.050,0.0030,<RDL      ,0.0020,8.2,,22.8,,0.207,,0.050,0.0180,,0.005,,,,
08/03/1994,L4191-2,3.0,0.020,<MDL      ,0.020,109.0,,,8.98,,,,,,,0.050,<MDL      ,0.050,0.0034,<RDL      ,0.0020,8.2,,22.8,,0.159,,0.050,0.0230,,0.005,,,,
09/06/1994,L4440-1,1.0,0.020,<MDL      ,0.020,101.3,,,8.78,,,,,7,,0.050,<MDL      ,0.050,0.0033,<RDL      ,0.0020,8.1,,21.2,,0.208,,0.050,0.0140,,0.005,,,,
09/06/1994,L4440-2,3.0,0.020,<MDL      ,0.020,,,,,,,,,,,0.050,<MDL      ,0.050,0.0068,,0.0020,,,,,0.210,,0.050,0.0140,,0.005,,,,
10/03/1994,L4645-1,1.0,0.020,<MDL      ,0.020,106.6,,,8.98,,,,,5,,0.050,<MDL      ,0.050,0.0053,,0.0020,7.8,,18.8,,0.219,,0.050,0.0090,<RDL      ,0.005,41.0,,0.2,
10/03/1994,L4645-2,3.0,0.020,<MDL      ,0.020,106.4,,,8.91,,,,,,,0.050,<MDL      ,0.050,0.0038,<RDL      ,0.0020,7.8,,18.8,,0.202,,0.050,0.0100,RDL       ,0.005,42.0,,0.2,
11/02/1994,L4816-1,1.0,0.069,,0.020,103.9,,,9.27,,,,,,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,7.5,,13.7,,0.236,,0.050,0.0150,,0.005,,,,
11/02/1994,L4816-2,3.0,0.020,<MDL      ,0.020,104.5,,,9.14,,,,,,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,7.5,,13.7,,0.290,,0.050,0.0120,,0.005,,,,
12/05/1994,L4992-1,1.0,0.020,<MDL      ,0.020,106.4,,,9.89,,,,,11,,0.142,,0.050,0.0103,,0.0020,7.3,,8.8,,0.336,,0.050,0.0250,,0.005,,,,
12/05/1994,L4992-2,3.0,0.020,<MDL      ,0.020,106.5,,,9.86,,,,,,,0.137,,0.050,0.0101,,0.0020,7.3,,8.7,,0.320,,0.050,0.0220,,0.005,,,,
01/18/1995,L5229-1,1.0,0.020,<MDL      ,0.020,89.3,,,10.53,,,,,10,,0.236,,0.050,0.0139,,0.0020,8.0,,7.3,,0.439,,0.050,0.0270,,0.005,40.0,,0.2,
01/18/1995,L5229-2,3.0,0.020,<MDL      ,0.020,90.8,,,10.59,,,,,,,0.240,,0.050,0.0171,,0.0020,7.8,,7.3,,0.465,,0.050,0.0300,,0.005,39.0,,0.2,
02/06/1995,L5377-6,1.0,0.020,<MDL      ,0.020,163.0,,,10.95,,,,,46,,0.354,,0.050,0.0174,,0.0020,7.5,,8.5,,0.629,,0.050,0.0450,,0.005,,,,
02/06/1995,L5377-7,3.0,0.021,<RDL      ,0.020,118.2,,,10.91,,,,,,,0.780,,0.050,0.0236,,0.0020,7.4,,7.9,,1.010,,0.050,0.0490,,0.005,,,,
03/06/1995,L5573-6,Composite,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
03/06/1995,L5573-6,1.0,0.020,<MDL      ,0.020,96.8,,,11.46,,,,,,,0.209,,0.050,0.0114,,0.0020,7.5,,7.0,,0.442,,0.050,0.0520,,0.005,,,,
03/06/1995,L5573-7,3.0,0.020,<MDL      ,0.020,97.2,,,10.98,,,,,,,0.210,,0.050,0.0102,,0.0020,7.4,,7.0,,0.361,,0.050,0.0310,,0.005,,,,
03/20/1995,L5710-8,1.0,0.020,<MDL      ,0.020,99.7,,,11.72,,,,,12,,0.251,,0.050,0.0072,,0.0020,7.6,,8.2,,0.558,,0.050,0.0310,,0.005,,,,
03/20/1995,L5710-9,3.0,0.020,<MDL      ,0.020,100.0,,,11.62,,,,,,,0.200,,0.050,0.0073,,0.0020,7.5,,8.2,,0.536,,0.050,0.0310,,0.005,,,,
04/03/1995,L5779-11,1.0,0.020,<MDL      ,0.020,104.6,,,12.98,,,,,2,,0.145,,0.050,0.0020,<MDL      ,0.0020,8.4,,10.5,,0.552,,0.050,0.0290,,0.005,41.0,,0.2,
04/03/1995,L5779-12,3.0,0.020,<MDL      ,0.020,106.6,,,13.08,,,,,,,0.146,,0.050,0.0020,<MDL      ,0.0020,8.5,,10.5,,0.604,,0.050,0.0330,,0.005,41.0,,0.2,
04/17/1995,L5914-8,1.0,0.020,<MDL      ,0.020,99.7,,,11.87,,,,,5,,0.094,<RDL      ,0.050,0.0020,<MDL      ,0.0020,8.4,,9.7,,0.404,,0.050,0.0280,,0.005,,,,
04/17/1995,L5914-9,3.0,0.020,<MDL      ,0.020,98.7,,,11.54,,,,,,,0.097,<RDL      ,0.050,0.0020,<MDL      ,0.0020,8.2,,9.5,,0.395,,0.050,0.0220,,0.005,,,,
05/01/1995,L5986-11,1.0,0.020,<MDL      ,0.020,101.8,,,13.26,,,,,3,,0.050,<MDL      ,0.050,0.0021,<RDL      ,0.0020,9.1,,13.3,,0.278,,0.050,0.0176,,0.005,,,,
05/01/1995,L5986-12,3.0,0.020,<MDL      ,0.020,101.8,,,13.14,,,,,,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,9.1,,13.3,,0.249,,0.050,0.0173,,0.005,,,,
05/15/1995,L6093-9,1.0,0.020,<MDL      ,0.020,108.5,,,10.58,,,,,1,,0.051,<RDL      ,0.050,0.0020,<MDL      ,0.0020,8.8,,16.3,,0.268,,0.050,0.0155,,0.005,,,,
05/15/1995,L6093-10,3.0,0.020,<MDL      ,0.020,113.6,,,10.50,,,,,,,0.083,<RDL      ,0.050,0.0020,<MDL      ,0.0020,8.7,,15.9,,0.281,,0.050,0.0193,,0.005,,,,
06/06/1995,L6253-11,1.0,0.020,<MDL      ,0.020,101.1,,,10.39,,,,,1,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.8,,18.3,,0.216,,0.050,0.0151,,0.005,,,,
06/06/1995,L6253-12,3.0,0.020,<MDL      ,0.020,101.3,,,10.39,,,,,,,0.050,<MDL      ,0.050,0.0055,,0.0020,8.8,,18.2,,0.247,,0.050,0.0084,<RDL      ,0.005,,,,
07/11/1995,L6450-11,1.0,,"<MDL,E,IP ",0.020,107.0,,,9.71,,,,,1,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.3,,20.3,,0.215,,0.050,0.0050,<MDL      ,0.005,39.0,,0.2,
07/11/1995,L6450-12,3.0,,"<MDL,E,IP ",0.020,106.7,,,9.66,,,,,,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,8.3,,20.3,,0.201,,0.050,0.0050,<MDL      ,0.005,40.0,,0.2,
08/02/1995,L6636-11,1.0,0.020,<MDL      ,0.020,100.5,,,9.30,,,,,6,,0.050,<MDL      ,0.050,0.0053,,0.0020,8.0,,21.0,,0.263,,0.050,0.0100,RDL       ,0.005,,,,
08/02/1995,L6636-12,3.0,0.020,<MDL      ,0.020,104.2,,,9.05,,,,,,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,7.9,,20.5,,0.264,,0.050,0.0110,,0.005,,,,
09/11/1995,L6882-11,1.0,0.020,<MDL      ,0.020,113.1,,,9.36,,,,,3,,0.050,<MDL      ,0.050,0.0028,<RDL      ,0.0020,7.9,,20.2,,0.187,,0.050,,,,,,,
09/11/1995,L6882-12,3.0,0.020,<MDL      ,0.020,112.7,,,9.41,,,,,,,0.050,<MDL      ,0.050,0.0026,<RDL      ,0.0020,7.9,,20.2,,0.190,,0.050,,,,,,,
10/04/1995,L6996-11,1.0,0.020,<MDL      ,0.020,156.0,,,8.87,,,,,12,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,7.6,,17.9,,0.158,,0.050,0.0130,,0.005,39.7,,0.2,
10/04/1995,L6996-12,3.0,0.020,<MDL      ,0.020,156.0,,,8.83,,,,,,,0.050,<MDL      ,0.050,0.0020,<MDL      ,0.0020,7.6,,18.0,,0.152,,0.050,0.0100,RDL       ,0.005,39.8,,0.2,
11/06/1995,L7240-11,1.0,0.020,<MDL      ,0.020,101.3,,,8.09,,,,,3,,0.050,<MDL      ,0.050,0.0038,<RDL      ,0.0020,7.3,,12.1,,0.249,,0.050,0.0120,,0.005,,,,
11/06/1995,L7240-12,3.0,0.020,<MDL      ,0.020,104.0,,,8.10,,,,,,,0.050,<MDL      ,0.050,0.0037,<RDL      ,0.0020,7.3,,12.1,,0.206,,0.050,0.0106,,0.005,,,,
12/04/1995,L7446-11,1.0,0.034,<RDL      ,0.020,102.9,,,9.87,,,,,31,,0.194,,0.050,0.0120,,0.0020,7.1,,10.4,,0.377,,0.050,0.0150,,0.005,,,,
12/04/1995,L7446-12,3.0,0.022,<RDL      ,0.020,103.7,,,9.80,,,,,,,0.196,,0.050,0.0100,,0.0020,7.2,,10.3,,0.371,,0.050,0.0130,,0.005,,,,
01/02/1996,L7623-6,1.0,0.020,<MDL      ,0.020,101.3,,,10.03,,,,,8,,0.256,,0.050,0.0120,,0.0020,7.0,,8.6,,0.432,,0.050,0.0240,,0.005,37.6,,0.2,
01/02/1996,L7623-7,3.0,0.020,<MDL      ,0.020,101.5,,,9.95,,,,,,,0.253,,0.050,0.0110,,0.0020,7.0,,8.6,,0.442,,0.050,0.0230,,0.005,37.5,,0.2,
02/06/1996,L7777-6,1.0,0.020,<MDL      ,0.020,98.7,,,10.72,,,,,9,,0.300,,0.050,0.0130,,0.0020,7.0,,6.7,,0.486,,0.050,0.0310,,0.005,,,,
02/06/1996,L7777-7,3.0,0.020,<MDL      ,0.020,101.8,,,10.62,,,,,,,0.299,,0.050,0.0130,,0.0020,7.0,,6.7,,0.582,,0.050,0.0250,,0.005,,,,
03/05/1996,L7906-6,1.0,0.020,<MDL      ,0.020,102.0,,,12.09,,,,,10,,0.338,,0.050,0.0130,,0.0020,7.7,,6.8,,0.526,,0.050,0.0270,,0.005,,,,
03/05/1996,L7906-7,3.0,0.020,<MDL      ,0.020,103.8,,,11.93,,,,,,,0.372,,0.050,0.0130,,0.0020,7.7,,6.8,,0.553,,0.050,0.0250,,0.005,,,,
03/20/1996,L8056-6,1.0,0.033,<RDL      ,0.020,98.7,,,12.39,,,,,1,,0.283,,0.050,0.0070,,0.0020,7.9,,7.9,,0.436,,0.050,0.0240,,0.005,,,,
03/20/1996,L8056-7,3.0,0.034,<RDL      ,0.020,98.4,,,12.33,,,,,,,0.280,,0.050,0.0070,,0.0020,7.9,,7.9,,0.509,,0.050,0.0200,,0.005,,,,
04/08/1996,L8218-10,1.0,0.028,<RDL      ,0.020,104.7,,,13.78,,,,,75,,0.178,,0.050,0.0040,<RDL      ,0.0020,8.9,,11.7,,0.490,,0.050,0.0300,,0.005,37.1,,0.2,
04/08/1996,L8218-11,3.0,0.029,<RDL      ,0.020,122.9,,,13.53,,,,,,,0.190,,0.050,0.0030,<RDL      ,0.0020,8.6,,11.1,,0.480,,0.050,0.0200,,0.005,37.3,,0.2,
04/23/1996,L8326-10,1.0,0.052,,0.020,85.1,,,11.11,,,,,,">MR,6E2   ",0.347,,0.050,0.0220,,0.0020,8.5,,11.2,,1.030,,0.050,0.1850,,0.005,,,,
04/23/1996,L8326-11,3.0,0.067,,0.020,85.7,,,11.00,,,,,,,0.400,,0.050,0.0250,,0.0020,8.6,,11.2,,1.260,,0.050,0.2190,,0.005,,,,
05/07/1996,L8461-10,1.0,0.032,<RDL      ,0.020,98.7,,,10.71,,,,,2,,0.208,,0.050,0.0030,<RDL      ,0.0020,7.7,,10.6,,0.402,,0.050,0.0370,,0.005,,,,
05/07/1996,L8461-11,3.0,0.031,<RDL      ,0.020,98.6,,,10.64,,,,,,,0.205,,0.050,0.0030,<RDL      ,0.0020,7.7,,10.6,,0.489,,0.050,0.0290,,0.005,,,,
05/22/1996,L8632-10,1.0,0.022,<RDL      ,0.020,99.6,,,10.49,,,,,11,,0.155,,0.050,0.0040,<RDL      ,0.0020,8.1,,13.6,,0.409,,0.050,0.0160,,0.005,,,,
05/22/1996,L8632-11,3.0,0.026,<RDL      ,0.020,100.1,,,10.68,,,,,,,0.157,,0.050,0.0040,<RDL      ,0.0020,8.0,,13.3,,0.334,,0.050,0.0120,,0.005,,,,
06/03/1996,L8712-10,1.0,0.024,<RDL      ,0.020,104.5,,,10.24,,,,,16,,0.181,,0.050,0.0030,<RDL      ,0.0020,7.8,,16.0,,0.367,,0.050,0.0190,,0.005,,,,
06/03/1996,L8712-11,3.0,0.029,<RDL      ,0.020,105.4,,,10.63,,,,,,,0.180,,0.050,0.0030,<RDL      ,0.0020,7.8,,14.9,,0.380,,0.050,0.0290,,0.005,,,,
06/17/1996,L8846-4,Composite,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,
