Water samples are reported as mg/L of water, while sediment samples are reported as mg/kg of 
                    sediment (wet weight). Results of bacteria cultures are reported as CFU (colony-forming units)/100mls
                     of liquid sample or as MPN (most probable number)/g of thick or solid samples.
Note: ORG/100 ml = CFU/100 ml
These data include samples collected during both baseflow and wet weather/storm flow events.
Chlorophyll a - The laboratory changed analysis methods in July 1996. This method change resulted 
                    in a 14 percent increase in chlorophyll values due to improved extraction. Values reported prior to 
                    July 1996 can be adjusted by increasing them 14 percent for comparison with more recent data.
Total Phosphorus Note: The KCEL changed the TP analysis method in July 1998 and again in Jan 2007.
                    These changes resulted in a bias towards lower TP values reported. For comparisons with historical 
                    data, values reported after July 1, 1998 may be multiplied by a factor of 1.262. (R2 = 0.989)
Lake Union-0518
CollectDate,SampleNum,Depth (m),Ammmonia Nitrogen (mg/L),Ammmonia Nitrogen Qualifier*,AN MDL (mg/L),Conductivity (µmhos/cm),Cond Qualifier*,Cond MDL (µmhos/cm),Dissolved Oxygen (mg/L),DO Qualifier*,DO MDL (mg/L),Ecoli,Ecoli Qualifier*,Fecal Coliform (CFU/100ml),Fecal Coliform Qualifier*,Nitrate Nitrite (mg/L),Nitrate Nitrite Qualifier*,Nitrate Nitrite MDL (mg/L),Orthophosphate Phosphate (mg/L),OP Qualifier*,OP MDL (mg/L),pH,pH Qualifier*,Temperature (°C),Temperature Qualifier*,Total Nitrogen (mg/L),TN Qualifier*,TN MDL (mg/L),Total Phosphorus (mg/L),TP Qualifier*,TP MDL (mg/L),Total Alkalinity (mg/L),Total Alkalinity Qualifier*,Total Alkalinity MDL (mg/L),
02/14/1994,L2936-7,1.0,0.020,<MDL      ,0.020,98.8,,,11.57,,,,,100,,0.180,,0.050,0.0060,,0.0020,7.5,,6.4,,0.350,,0.050,0.0170,,0.005,,,,
02/14/1994,L2936-8,5.0,,,,99.8,,,11.43,,,,,,,,,,,,,7.5,,6.4,,,,,,,,,,,
02/14/1994,L2936-9,9.0,0.020,<MDL      ,0.020,101.0,,,11.50,,,,,,,0.180,,0.050,0.0060,,0.0020,7.5,,6.4,,0.350,,0.050,0.0240,,0.005,,,,
03/07/1994,L3134-7,1.0,0.020,<MDL      ,0.020,100.2,,,10.60,,,,,21,,0.200,,0.050,0.0090,,0.0020,7.4,,7.6,,0.320,,0.050,0.0360,,0.005,,,,
03/07/1994,L3134-8,5.0,,,,101.2,,,10.49,,,,,,,,,,,,,7.4,,7.6,,,,,,,,,,,
03/07/1994,L3134-9,9.0,0.020,<MDL      ,0.020,102.1,,,10.40,,,,,,,0.230,,0.050,0.0090,,0.0020,7.4,,7.5,,1.300,,0.050,0.0250,,0.005,,,,
03/21/1994,L3279-7,1.0,0.020,<MDL      ,0.020,102.5,,,11.56,,,,,38,,0.150,,0.050,0.0030,<RDL      ,0.0020,7.6,,8.1,,0.320,,0.050,0.0190,,0.005,,,,
03/21/1994,L3279-8,5.0,,,,103.8,,,11.50,,,,,,,,,,,,,7.6,,8.2,,,,,,,,,,,
03/21/1994,L3279-9,9.0,0.020,<MDL      ,0.020,104.3,,,11.39,,,,,,,0.150,,0.050,0.0052,,0.0020,7.6,,8.1,,0.340,,0.050,0.0190,,0.005,,,,
04/04/1994,L3376-7,1.0,0.020,<MDL      ,0.020,100.7,,,12.92,,,,,36,,0.067,<RDL      ,0.050,0.0042,<RDL      ,0.0020,8.6,,10.3,,0.329,,0.050,0.0450,,0.005,,,,
